"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","rep","dr_input","eval_geom"
"SPCA","Ichino-Yaguchi",0.92060954429573,0.111780911408541,0.92440230334859,0.115810855736507,0.351875,0.0875,FALSE,0,6,"raw","std"
"SPCA","Wasserstein",0.920588910133843,0.111801784576163,0.924396594332849,0.115800300070917,0.3515,0.087125,FALSE,0,6,"raw","std"
"SPCA","Centers-Euclidean",0.920603728489484,0.111780433397068,0.924417500734845,0.115758128161049,0.3515,0.08675,FALSE,0,6,"raw","std"
"IMDS","Int-Euclidean",0.563188973868706,-0.0478033779477375,0.568112032524757,-0.0549466329004786,0.039625,5e-04,TRUE,0,6,"raw","std"
"IMDS","Hausdorff",0.596072100063735,-0.00128537284894836,0.607399753910117,-0.0235759172425583,0.053,-0.00275,TRUE,0,6,"raw","std"
"IMDS","Ichino-Yaguchi",0.610354445506692,0.00817543021032496,0.619975811638988,-0.0109816877754389,0.054875,-0.002875,TRUE,0,6,"raw","std"
"IMDS","Wasserstein",0.59821845124283,-0.0146647546207775,0.609757899092443,-0.0349760960022218,0.055375,-0.00375,TRUE,0,6,"raw","std"
"IMDS","Centers-Euclidean",0.59933540471638,-0.0584056724028044,0.611926958184722,-0.0818827381558608,0.055875,-0.002,TRUE,0,6,"raw","std"
"Int-UMAP","Int-Euclidean",0.756862970044614,0.0280666029318037,0.845997419982084,0.0177580367639118,0.435,-0.024125,FALSE,0,6,"raw","std"
"Int-UMAP","Hausdorff",0.754421765455704,0.0286653919694073,0.844278846522925,0.0134943744060039,0.429625,-0.0345,FALSE,0,6,"raw","std"
"Int-UMAP","Ichino-Yaguchi",0.7577660930529,0.0262485659655832,0.847511496505925,0.0136613808158305,0.435375,-0.036375,FALSE,0,6,"raw","std"
"Int-UMAP","Wasserstein",0.756543817718292,0.0274388145315488,0.84598122801756,0.015064424958899,0.433625,-0.036375,FALSE,0,6,"raw","std"
